,velocity,flux
0,9715.83613527,1.00252027311
1,9722.70155712,0.986871231089
2,9729.56728355,1.00068935394
3,9736.43331458,0.991186259928
4,9743.29965024,1.00606061181
5,9750.16629053,0.999242761148
6,9757.03323549,0.998105872262
7,9763.90048514,1.00324513662
8,9770.76803948,1.01003536604
9,9777.63589855,1.01408281032
10,9784.50406237,1.00353802531
11,9791.37253094,0.983648916707
12,9798.24130431,0.99000260052
13,9805.11038247,0.997390872278
14,9811.97976547,0.989012997395
15,9818.8494533,1.01079435126
16,9825.71944601,0.991045975242
17,9832.58974359,0.996934452195
18,9839.46034609,0.995657599571
19,9846.33125351,1.01073729385
20,9853.20246588,0.987929138897
21,9860.07398322,1.00565286613
22,9866.94580554,0.989949491039
23,9873.81793287,0.990078765871
24,9880.69036523,1.0033128507
25,9887.56310263,1.00223735196
26,9894.43614511,0.998616401721
27,9901.30949267,1.00872858825
28,9908.18314535,1.00871962108
29,9915.05710315,0.999102512263
30,9921.93136611,1.00397140161
31,9928.80593423,1.00439379888
32,9935.68080754,1.01487708436
33,9942.55598607,1.00493530881
34,9949.43146982,1.00561868196
35,9956.30725883,1.00646249325
36,9963.18335311,0.995478308913
37,9970.05975268,1.00176975111
38,9976.93645757,0.99574675949
39,9983.81346778,0.998777117402
40,9990.69078335,1.00044049023
41,9997.5684043,0.996040279741
42,10004.4463306,1.00101370886
43,10011.3245624,1.00422690743
44,10018.2030996,1.00714383789
45,10025.0819422,1.00732885275
46,10031.9610903,1.01583240704
47,10038.8405439,0.994707244964
48,10045.7203031,0.977311140846
49,10052.6003677,0.997640472037
50,10059.480738,1.00403417182
51,10066.3614138,0.991536397113
52,10073.2423951,1.00437071659
53,10080.1236822,1.00498539928
54,10087.0052748,0.996094599497
55,10093.8871731,1.00946339646
56,10100.7693771,0.994748047602
57,10107.6518868,1.00641088775
58,10114.5347022,0.999356510137
59,10121.4178233,0.989451179483
60,10128.3012503,1.00101401674
61,10135.1849829,0.986414916096
62,10142.0690214,0.995430428884
63,10148.9533657,0.999835709822
64,10155.8380159,1.00196504124
65,10162.7229719,0.995002572747
66,10169.6082338,0.992394239979
67,10176.4938016,1.004423642
68,10183.3796753,1.00427560599
69,10190.265855,1.00598309404
70,10197.1523406,1.01180076764
71,10204.0391322,1.0015244233
72,10210.9262299,1.00422769825
73,10217.8136335,1.00807494978
74,10224.7013432,1.01058953839
75,10231.5893589,0.995948922939
76,10238.4776808,0.990902524156
77,10245.3663087,0.993113950569
78,10252.2552428,1.00042110564
79,10259.144483,0.985788861624
80,10266.0340294,1.01391055142
81,10272.923882,0.990520324029
82,10279.8140408,0.991151882158
83,10286.7045058,1.00039958192
84,10293.5952771,1.01507222233
85,10300.4863546,0.997866991055
86,10307.3777385,0.996267525107
87,10314.2694286,0.98192191906
88,10321.1614251,1.01015760986
89,10328.0537279,1.01063433409
90,10334.9463371,1.00854281724
91,10341.8392527,1.00628726364
92,10348.7324747,1.02140342133
93,10355.6260031,1.01205200781
94,10362.519838,1.00978888506
95,10369.4139794,1.00246246257
96,10376.3084272,1.00361683149
97,10383.2031816,0.998978094983
98,10390.0982425,0.989319232135
99,10396.99361,0.993191462003
100,10403.889284,0.997365395662
101,10410.7852647,0.981540773459
102,10417.6815519,1.01228272709
103,10424.5781458,0.994284925647
104,10431.4750464,0.97401257237
105,10438.3722536,0.994876931412
106,10445.2697676,0.98252805938
107,10452.1675882,1.00454292872
108,10459.0657156,0.997168971456
109,10465.9641498,1.00422997497
110,10472.8628907,0.988013783518
111,10479.7619384,0.996587427565
112,10486.661293,0.995527485926
113,10493.5609544,0.982862335555
114,10500.4609227,0.995557783036
115,10507.3611978,0.99990963473
116,10514.2617799,1.00612155493
117,10521.1626688,1.01057003037
118,10528.0638648,1.01099006925
119,10534.9653676,1.00236798919
120,10541.8671775,1.00752312018
121,10548.7692944,1.01301118682
122,10555.6717183,0.999576103755
123,10562.5744493,1.00814494712
124,10569.4774873,0.995067666625
125,10576.3808324,0.972230606481
126,10583.2844846,1.00028413442
127,10590.1884439,0.98966628635
128,10597.0927104,0.990596970533
129,10603.9972841,1.00283116822
130,10610.902165,0.98686425079
131,10617.807353,0.996203015578
132,10624.7128483,0.989458009132
133,10631.6186509,1.0090239786
134,10638.5247607,1.00781691176
135,10645.4311778,0.988489219821
136,10652.3379023,0.998445802846
137,10659.2449341,1.00323145851
138,10666.1522732,0.988670285555
139,10673.0599197,1.01861181886
140,10679.9678736,0.987063629305
141,10686.8761349,0.992788790706
142,10693.7847036,0.980751835691
143,10700.6935798,1.00533525818
144,10707.6027635,1.00581294463
145,10714.5122547,1.0035557822
146,10721.4220534,1.01303882293
147,10728.3321596,0.995456922074
148,10735.2425734,1.00996975484
149,10742.1532948,1.00269645864
150,10749.0643238,1.00885460731
151,10755.9756604,0.982765624334
152,10762.8873047,0.99558747636
153,10769.7992566,1.01470780241
154,10776.7115162,1.01101236227
155,10783.6240835,0.999713326922
156,10790.5369585,1.01929209121
157,10797.4501413,1.01417600884
158,10804.3636318,0.998256838445
159,10811.2774301,1.0159495453
160,10818.1915362,1.02196454426
161,10825.1059502,1.02965043047
162,10832.020672,1.01969067776
163,10838.9357017,1.01288780397
164,10845.8510392,1.00367979902
165,10852.7666847,1.02710565386
166,10859.6826381,1.00072063711
167,10866.5988994,0.993570087653
168,10873.5154687,0.986350926508
169,10880.4323461,0.99148575114
170,10887.3495314,1.02259486094
171,10894.2670247,0.988496922068
172,10901.1848261,1.01022355598
173,10908.1029356,0.993779197337
174,10915.0213532,1.01428666679
