,frequency,velocity,flux,weight
0,1386.3332271575928,7360.09098901917,1.4273738161971181,1.0
1,1386.3255977630615,7361.781392288335,2.168959292294999,1.0
2,1386.3179683685305,7363.471814163266,-0.0867434582856057,1.0
3,1386.310338973999,7365.162254644269,1.9789790380533931,1.0
4,1386.3027095794678,7366.852713731651,0.23989581329674436,1.0
5,1386.2950801849363,7368.5431914257215,1.2649627253719427,1.0
6,1386.2874507904053,7370.233687726785,0.4963655590522227,1.0
7,1386.279821395874,7371.92420263515,3.0054172046522867,1.0
8,1386.2721920013428,7373.614736151125,0.5317283288947592,1.0
9,1386.2645626068115,7375.305288275014,-0.7020390268003371,1.0
10,1386.2569332122805,7376.995859007127,4.154712136559006,1.0
11,1386.249303817749,7378.686448347771,1.8040651235459597,1.0
12,1386.2416744232178,7380.377056297252,0.4853134507496,1.0
13,1386.2340450286863,7382.067682855877,-0.2429777796124135,1.0
14,1386.2264156341553,7383.758328023955,0.39451947123884734,1.0
15,1386.218786239624,7385.448991801792,-2.5247510636304598,1.0
16,1386.2111568450928,7387.139674189696,-0.07434775590082943,1.0
17,1386.2035274505615,7388.830375187974,0.004144877792948698,1.0
18,1386.1958980560305,7390.521094796933,-0.053879415173939904,1.0
19,1386.188268661499,7392.21183301688,-0.4438911400674588,1.0
20,1386.1806392669678,7393.902589848122,3.6438164597622658,1.0
21,1386.1730098724363,7395.593365290969,0.15822047687125673,1.0
22,1386.1653804779053,7397.284159345725,-2.3831489567922888,1.0
23,1386.157751083374,7398.974972012699,-0.26314952228466204,1.0
24,1386.1501216888428,7400.665803292199,-0.7509904580178799,1.0
25,1386.1424922943115,7402.35665318453,-0.1380562337465001,1.0
26,1386.1348628997805,7404.047521690001,-3.82697929182984,1.0
27,1386.127233505249,7405.738408808919,0.21828653720551694,1.0
28,1386.1196041107178,7407.429314541592,1.3998135322290715,1.0
29,1386.1119747161863,7409.120238888327,1.2508268802694915,1.0
30,1386.1043453216553,7410.81118184943,4.554624849955451,1.0
31,1386.096715927124,7412.50214342521,-1.12967169925731,1.0
32,1386.0890865325928,7414.193123615974,2.3742584620615865,1.0
33,1386.0814571380615,7415.88412242203,-0.6323377127157666,1.0
34,1386.0738277435305,7417.575139843683,0.5427136622896254,1.0
35,1386.066198348999,7419.266175881243,0.44564458928591666,1.0
36,1386.0585689544678,7420.957230535017,-0.5494500619373826,1.0
37,1386.0509395599363,7422.648303805311,1.4202555117005677,1.0
38,1386.0433101654053,7424.339395692433,-0.20892538375912162,1.0
39,1386.035680770874,7426.030506196692,0.27745968976160507,1.0
40,1386.0280513763428,7427.721635318393,-3.6129120007147972,1.0
41,1386.0204219818115,7429.412783057844,-1.2008999155091815,1.0
42,1386.0127925872805,7431.103949415355,-2.440427588404407,1.0
43,1386.005163192749,7432.795134391231,-1.8962800866976783,1.0
44,1385.9975337982178,7434.486337985779,0.5594091623949895,1.0
45,1385.9899044036863,7436.177560199309,-1.9982108435451496,1.0
46,1385.9822750091553,7437.868801032125,2.532247893636457,1.0
47,1385.974645614624,7439.560060484538,1.3247579068970654,1.0
48,1385.9670162200928,7441.251338556853,1.1043961501091304,1.0
49,1385.9593868255615,7442.942635249378,-1.0887929426785072,1.0
50,1385.9517574310305,7444.633950562421,-4.103771104482611,1.0
51,1385.944128036499,7446.32528449629,1.2598715206219926,1.0
52,1385.9364986419678,7448.016637051292,-0.8245681417741433,1.0
53,1385.9288692474363,7449.708008227734,-0.5040656434435385,1.0
54,1385.9212398529053,7451.399398025924,-1.7755291314716937,1.0
55,1385.913610458374,7453.09080644617,-3.5298637979529572,1.0
56,1385.9059810638428,7454.782233488778,1.9218898884668714,1.0
57,1385.8983516693115,7456.473679154057,-0.6012383970163666,1.0
58,1385.8907222747805,7458.165143442315,2.265923325095833,1.0
59,1385.883092880249,7459.856626353858,0.6982589970186185,1.0
60,1385.8754634857178,7461.548127888994,-1.1730812183880128,1.0
61,1385.8678340911863,7463.239648048031,-1.9255992497311571,1.0
62,1385.8602046966553,7464.931186831276,5.767249474771487,1.0
63,1385.852575302124,7466.622744239038,2.0141598159541787,1.0
64,1385.8449459075928,7468.314320271623,-0.8193325585527633,1.0
65,1385.8373165130615,7470.005914929339,-0.5864317869140862,1.0
66,1385.8296871185305,7471.697528212495,0.33308900894101484,1.0
67,1385.822057723999,7473.389160121396,2.1918626117685065,1.0
68,1385.8144283294678,7475.080810656352,-0.8869395153875712,1.0
69,1385.8067989349363,7476.77247981767,-0.8092950878889018,1.0
70,1385.7991695404053,7478.464167605656,1.7391050263711239,1.0
71,1385.791540145874,7480.15587402062,-1.411910463693414,1.0
72,1385.7839107513428,7481.847599062868,0.34113356397382333,1.0
73,1385.7762813568115,7483.539342732709,-0.871809074944629,1.0
74,1385.7686519622805,7485.23110503045,-1.4049977613424685,1.0
75,1385.761022567749,7486.922885956397,2.1534134554979847,1.0
76,1385.7533931732178,7488.614685510861,-3.9451258681579358,1.0
77,1385.7457637786863,7490.306503694148,0.4953597702833299,1.0
78,1385.7381343841553,7491.998340506565,-1.1130156049247213,1.0
79,1385.730504989624,7493.69019594842,-0.7734914964872486,1.0
80,1385.7228755950928,7495.382070020022,-1.541100605431247,1.0
81,1385.7152462005615,7497.073962721677,-0.9076929693773348,1.0
82,1385.7076168060305,7498.7658740536945,0.9812867232798644,1.0
83,1385.699987411499,7500.457804016381,1.4393419508720902,1.0
84,1385.6923580169678,7502.149752610044,-1.3544825902997073,1.0
85,1385.6847286224363,7503.841719834992,-0.7915637352837606,1.0
86,1385.6770992279053,7505.533705691532,-1.3355042302641955,1.0
87,1385.669469833374,7507.225710179972,-1.151547525706229,1.0
88,1385.6618404388428,7508.917733300621,0.6619531585610887,1.0
89,1385.6542110443115,7510.609775053786,1.084284540356145,1.0
90,1385.6465816497805,7512.301835439773,-1.074435206124492,1.0
