,frequency,temp_xx,temp_yy,temp,flux_xx,flux_yy,flux,V_radio,V_opt,velocity
0,1329.639196395874,0.08914017070174296,0.14748775950282322,0.11831396510228309,5.602298440132699,9.241176414796882,7.421737427464791,19157.29254813623,20465.04689597054,20457.013598865724
1,1329.6468257904053,0.11541361628087898,0.10467891101106375,0.11004626364597137,7.2399789777205115,6.57255659798966,6.906267787855086,19155.68227942395,20463.20928705887,20455.175989954056
2,1329.6544551849365,0.13610296368478814,0.19035209893640825,0.1632275313105982,8.529771366698014,11.913200827881383,10.221486097289699,19154.072010711672,20461.37169923515,20453.338402130335
3,1329.6620845794678,0.1260945391277879,0.06622454464982397,0.09615954188880593,7.9058313403781995,4.175518983849088,6.040675162113644,19152.461741999396,20459.53413249902,20451.500835394203
4,1329.669713973999,0.15862974791494722,0.022478193791812373,0.0905539708533798,9.933952344396857,1.4484928470533305,5.691222595725094,19150.851473287115,20457.69658685011,20449.663289745295
5,1329.6773433685303,0.14027156153428422,0.1263285465426094,0.1333000540384468,8.78955033576085,7.9222360154194575,8.355893175590154,19149.24120457484,20455.859062288062,20447.825765183246
6,1329.6849727630615,0.12482543474200014,0.11433944303349719,0.11958243888774867,7.826623025989193,7.17489269830844,7.5007578621488165,19147.63093586256,20454.021558812514,20445.9882617077
7,1329.6926021575928,0.10819000685236801,0.16544350653895634,0.13681675669566218,6.789684263522759,10.360618117214472,8.575151190368615,19146.020667150282,20452.184076423102,20444.150779318286
8,1329.700231552124,0.13517726877379488,0.10560428693820256,0.12039077785599872,8.472076060199925,6.630403475659477,7.551239767929701,19144.410398438,20450.34661511946,20442.313318014643
9,1329.7078609466553,0.11259009114368723,0.15509144417830711,0.13384076766099717,7.06403113091892,9.715338546085832,8.389684838502376,19142.800129725725,20448.509174901228,20440.475877796413
10,1329.7154903411865,0.06752972383475253,0.09510042886933334,0.08131507635204294,4.25509394183814,5.975555433228465,5.1153246875333025,19141.18986101345,20446.671755768042,20438.638458663227
11,1329.7231197357178,0.14930827697874705,0.1117151408046837,0.13051170889171537,9.352862920581401,7.011181913448581,8.182022417014991,19139.57959230117,20444.83435771954,20436.801060614725
12,1329.730749130249,0.13399946324154755,0.12534343816278692,0.12967145070216723,8.39859199805278,7.860779978075698,8.129685988064239,19137.96932358889,20442.996980755357,20434.96368365054
13,1329.7383785247803,0.15300836226595393,0.08969435332472386,0.1213513577953389,9.583479670049428,5.638653097618999,7.611066383834213,19136.35905487661,20441.159624875134,20433.12632777032
14,1329.7460079193115,0.15033523322328435,0.15601986572499982,0.15317754947414208,9.416903751841573,9.773128711343134,9.595016231592354,19134.748786164335,20439.322290078504,20431.28899297369
15,1329.7536373138428,0.09425607505625067,0.1372838921395143,0.11576998359788249,5.921159293002347,8.605214040450846,7.263186666726597,19133.13851745206,20437.484976365107,20429.45167926029
16,1329.761266708374,0.08315047022441746,0.03605329757913722,0.05960188390177734,5.2287687283335345,2.2947704771286226,3.7617696027310785,19131.528248739778,20435.647683734576,20427.61438662976
17,1329.7688961029053,0.15940052320626563,0.11850694607459644,0.13895373464043104,9.982023214858145,7.434614645314468,8.708318930086307,19129.9179800275,20433.810412186554,20425.77711508174
18,1329.7765254974365,0.10144782851648415,0.05666389468697375,0.07905586160172895,6.369391112424637,3.579553458710734,4.9744722855676855,19128.30771131522,20431.973161720674,20423.93986461586
19,1329.7841548919678,0.10550327148665417,0.14632561820561207,0.12591444484613312,6.622089975074232,9.168785161301003,7.895437568187617,19126.697442602945,20430.135932336572,20422.102635231757
20,1329.791784286499,0.01819469058459333,0.14714821028129776,0.08267145043294555,1.1796196398934171,9.220026083575931,5.199822861734674,19125.087173890664,20428.29872403389,20420.265426929076
21,1329.7994136810303,0.03908915709103056,0.15017208412924177,0.09463062061013616,2.4821107802283677,9.408605595754125,5.945358187991246,19123.476905178388,20426.46153681226,20418.428239707446
22,1329.8070430755615,0.06235227493980844,0.06265883275938222,0.06250555384959533,3.932367011117094,3.9532724822645378,3.942819746690816,19121.86663646611,20424.62437067133,20416.591073566513
23,1329.8146724700928,0.17465063643856382,0.10839549333607934,0.14152306488732158,10.932667750435712,6.804291267473218,8.868479508954465,19120.25636775383,20422.78722561072,20414.753928505903
24,1329.822301864624,0.15672975608064732,0.16612840440771492,0.16142908024418112,9.815440383803434,10.403195399338756,10.109317891571095,19118.646099041554,20420.95010163008,20412.916804525263
25,1329.8299312591553,0.17067761323118447,0.13288200928784377,0.15177981125951412,10.684973319244591,8.330685503241511,9.507829411243051,19117.035830329274,20419.11299872904,20411.079701624225
26,1329.8375606536865,0.06164102021644524,0.11804260353713047,0.08984181187678786,3.8879228902308114,7.405677438221119,5.646800164225965,19115.425561616998,20417.27591690724,20409.242619802426
27,1329.8451900482178,0.13644408269143327,0.14450856282886804,0.14047632276015065,8.55093994142453,9.055453303892136,8.803196622658334,19113.81529290472,20415.43885616432,20407.405559059505
28,1329.852819442749,0.09004372369571811,0.109104248704746,0.09957398620023206,5.6584857055220255,6.848486645657431,6.253486175589728,19112.20502419244,20413.60181649992,20405.568519395103
29,1329.8604488372803,0.1514795255917143,0.14383942361165225,0.14765947460168327,9.48821807815807,9.01377802905813,9.2509980536081,19110.594755480164,20411.764797913664,20403.731500808848
30,1329.8680782318115,0.05402259098052653,0.11748298937935431,0.08575279017994042,3.4130895615205645,7.370721648742119,5.391905605131342,19108.984486767884,20409.9278004052,20401.894503300384
